Nama Lokasi,Latitude,Longitude,Alamat,Deskripsi,Kategori,Kategori_ID,Confidence_Score,Manual_Review
Ayam Penyet Hang Dihi,-5.3849441,105.2953267,"J78W+25C, Jl. Pulau Sebesi No.001, Sukarame, Kec. Sukarame, Kota Bandar Lampung, Lampung 35131 ",,kuliner,4,1.0,True
Kuliner Kasih,-5.3946966,105.2022585,"Jl. Cendrawasih, Beringin Raya, Kec. Kemiling, Kota Bandar Lampung, Lampung 35155 ",,kuliner,4,1.0,False
Kuliner Olga,-5.4338284,105.2621703,"Jl. Cut Mutia No.4, Gulak Galik, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35214 ",,kuliner,4,1.0,False
Pempek Judes,-5.44879,105.2623864,"Jl. Ikan Kakap No.100B, Pesawahan, Kec. Telukbetung Selatan, Kota Bandar Lampung, Lampung 35223 ",,kuliner,4,1.0,True
Mie Kalong Urip,-5.391666,105.2810621,"Jl. Urip Sumoharjo No.145-147, Way Halim Permai, Kec. Sukarame, Kota Bandar Lampung, Lampung 35122 ",,kuliner,4,1.0,True
Miisonii,-5.3970978,105.2316186,"Gg. Murni No.2 No.8, Langkapura, Kec. Langkapura, Kota Bandar Lampung, Lampung 35154 ",,kuliner,4,1.0,True
Restoran Garuda,-5.4188732,105.252751,"Jl. Cut Nyak Dien No.24-20, Palapa, Kec. Tj. Karang Pusat, Kota Bandar Lampung, Lampung 35119 ",,kuliner,4,1.0,False
Rumah Makan Khuailok ( Happiness ),-5.4160272,105.2580863,"No. 80 C-E, Jl. Raden Intan, Pelita, Enggal, Bandar Lampung City, Lampung 35213 ",,kuliner,4,1.0,False
"Kuliner teteh tu'ah ( mie jablai , jamur, usus crispie )",-5.377097,105.2841547,"J7FM+5M6, Way Dadi, Kec. Sukarame, Kota Bandar Lampung, Lampung 35132 ",,kuliner,4,1.0,False
RM Sumatra,-5.4110964,105.2571531,"35111, Jl. Pangkal Pinang No.30/42, Tj. Karang, Kec. Tj. Karang Pusat, Kota Bandar Lampung, Lampung 35127 ",,kuliner,4,1.0,True
RM Aneka Rasa,-5.383939,105.2741789,"Jl. Griya Utama No.8, Way Halim Permai, Kec. Way Halim, Kota Bandar Lampung, Lampung 35132 ",,kuliner,4,1.0,False
"Villa_Rumah Kayoe , Private Resto",-5.3733439,105.2663572,"Jl. Sultan H. No.80, Sepang Jaya, Kec. Kedaton, Kota Bandar Lampung, Lampung 35136 ",,kuliner,4,1.0,True
mie asang,-5.4129346,105.2556392,"Jl. Kartini No.179, Tj. Karang, Kec. Tj. Karang Pusat, Kota Bandar Lampung, Lampung 35127 ",,kuliner,4,1.0,True
Pondok Kuliner Pak Heri,-5.3667659,105.275292,"Jl. Ratu Dibalau No.140, Tj. Senang, Kec. Tj. Senang, Kota Bandar Lampung, Lampung 35136 ",,kuliner,4,1.0,False
Mie Inti,-5.448168,105.266424,"Jl. Ikan Bawal No.178A, Tlk. Betung, Kec. Telukbetung Selatan, Kota Bandar Lampung, Lampung 35211 ",,kuliner,4,1.0,True
Kuliner Obob,-5.3566168,105.2426465,"Rajabasa Raya, Kec. Rajabasa, Kota Bandar Lampung, Lampung 35142 ",,kuliner,4,1.0,False
Sate Cak Umar,-5.4198278,105.2580837,"Jl. Raden Intan No.118, RT.02/RW.2, Pelita, Engal, Kota Bandar Lampung, Lampung 35213 ",,kuliner,4,1.0,True
Khuailok Malahayati,-5.4478133,105.268444,"Samping Alfamart, Jl. Laksamana Malahayati No.82 B-C, Tlk. Betung, Kec. Telukbetung Selatan, Kota Bandar Lampung, Lampung 35221 ",,kuliner,4,1.0,True
HokBen Lampung City Mall,-5.4430182,105.280385,"Jl. Yos Sudarso No.44, Bumi Waras, Kec. Telukbetung Selatan, Kota Bandar Lampung, Lampung 35226 ",,kuliner,4,1.0,True
Bakso Lapangan Tembak Senayan,-5.3823905,105.2594415,"Mal Boemi Kedaton Lantai 1 (Depan Hokben, Jl. Teuku Umar No.8 Blok L, Kedaton, Kec. Kedaton, Kota Bandar Lampung, Lampung 35132 ",,kuliner,4,1.0,False
Kuliner enak,-5.3926837,105.2153154,"Jl. Teuku Cik Ditiro No.2, Sumber Rejo, Kec. Kemiling, Kota Bandar Lampung, Lampung 35155 ",,kuliner,4,1.0,False
"Domesteak, Transmart Carrefour Lampung",-5.3834727,105.2825443,"Way Dadi, Kec. Sukarame, Kota Bandar Lampung, Lampung ",,budaya,2,1.0,False
Kuliner Titing,-5.3970701,105.2854031,"Jl. Panorama 3 No.103, Kalibalau Kencana, Kec. Sukabumi, Kota Bandar Lampung, Lampung 35122 ",,kuliner,4,1.0,False
Pindang Kepala Simba Restu Murni,-5.4228141,105.2646138,"Jl. Jend. Sudirman No.14, Rw. Laut, Engal, Kota Bandar Lampung, Lampung 35213 ",,kuliner,4,1.0,True
Pempek Tenda Biru Tamin,-5.4068391,105.2487089,"Jl. Tamin No.51, Suka Jawa, Kec. Tj. Karang Bar., Kota Bandar Lampung, Lampung 35118 ",,kuliner,4,1.0,True
Bintang 88 Vegetarian,-5.4477662,105.2628754,"Jl. Ikan Tongkol No.134 / 46, Pesawahan, Kec. Telukbetung Selatan, Kota Bandar Lampung, Lampung 35221 ",,kuliner,4,1.0,True
Bakso Mustofa Khas Kuliner Solo,-5.3666646,105.2719739,"Gg.Hj, Jl. Sultan H. Gg. HS Djaelani No.:20, Tj. Senang, Kec. Tj. Senang, Kota Bandar Lampung, Lampung 35136 ",,kuliner,4,1.0,False
Kedai Kuliner 24,-5.4080197,105.2529287,"H7R3+Q5V, Suka Jawa, Kec. Tj. Karang Bar., Kota Bandar Lampung, Lampung 35127 ",,kuliner,4,1.0,False
Kuliner Nagih15 Cabang,-5.4040965,105.2348603,"Jln St badarudin gg.bhakti1, Susunan Baru, Kec. Tj. Karang Bar., Kota Bandar Lampung, Lampung 35116 ",,kuliner,4,1.0,False
Pusat Kuliner lapangan Way Dadi,-5.3847599,105.290964,"J78R+39W, Jl. Pulau Tegal, Way Dadi, Kec. Sukarame, Kota Bandar Lampung, Lampung 35133 ",,kuliner,4,1.0,False
Warung Makan Dea,-5.4623934,105.3168028,"Jalan Yos Sudarso No. 13, Panjang Utara, Panjang, Pidada, Kec. Panjang, Kota Bandar Lampung, Lampung 35241 ",,kuliner,4,1.0,False
Kuliner abati,-5.3811492,105.2404021,"Gg. Swadaya 8, Gn. Terang, Kec. Tj. Karang Bar., Kota Bandar Lampung, Lampung 35147 ",,kuliner,4,1.0,False
MJ Kuliner Bdl,-5.3914374,105.2410611,"J65R+CCF, Jl. Landak, Segala Mider, Kec. Tj. Karang Bar., Kota Bandar Lampung, Lampung ",,kuliner,4,1.0,False
Air Terjun Ciupang,-5.5885654,105.0204935,"C27F+7MX, Sumber Jaya, Kecamatan way ratai, Kabupaten Pesawaran, Lampung 35451 ",,alam,1,1.0,False
WAY MIOS gunung batu,-5.4397252,105.0969334,"Dusun g.batu, Pampangan, Kec. Gedong Tataan, Kabupaten Pesawaran, Lampung 35368 ",,alam,1,1.0,False
Puncak Bukit Cendana Pesawaran,-5.5399929,105.1077046,"Hutan, Kec. Hutan, Kabupaten Pesawaran, Lampung 35451 ",,alam,1,1.0,False
Pantai Batu Mandi,-5.5775974,105.2007355,"C6C2+X79, Batumenyan, Kecamatan Teluk Pandan, Kabupaten Pesawaran, Lampung 35351 ",,alam,1,1.0,False
Pantai Bensam 2,-5.5774841,105.2044988,"Batumenyan, Jl. Way Ratai, Kec. Teluk Pandan, Kabupaten Pesawaran, Lampung 35450 ",,alam,1,1.0,False
Air terjun TALANG RABUN,-5.4960797,105.1607895,"G546+Q9, Hutan, Kec. Hutan, Kabupaten Pesawaran, Lampung 35451 ",,alam,1,1.0,False
Pantai Klara Lampung,-5.5799026,105.2131419,"Jl. Way Ratai No.99, Gebang, Kec. Padang Cermin, Kabupaten Pesawaran, Lampung 35451 ",,alam,1,1.0,False
